id,path,caption,__raw_response,__error,style,Gen_by,category_category,task
henri-edmond-cross_the-flowered-column-1_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_the-flowered-column-1_resize1024.jpg,"a woman in a pink dress and straw hat reaching toward flowering branches in a garden, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
pierre-auguste-renoir_la-grenouillere-1869-2_resize1024,Dataset/Intermediate/Impressionism/Gen_pointillism/Gpt/pierre-auguste-renoir_la-grenouillere-1869-2_resize1024.jpg,"a tree-lined riverside promenade with strolling figures and a sailboat on the water, pointillism painting","{""category"":""landscape""}",,Pointillism,gpt-image-1,landscape,category_classify
henri-edmond-cross_the-bay-of-cavaliere-study_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_the-bay-of-cavaliere-study_resize1024.jpg,"a large tree with dense foliage beside a sunlit field, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_the-viaduct_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_the-viaduct_resize1024.jpg,"a stone bridge with two arches over a shimmering river under a cloudy sky, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
camille-pissarro_hampton-court-green-london-1891_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/camille-pissarro_hampton-court-green-london-1891_resize1024.jpg,"a grassy field with scattered figures playing and red-roofed buildings behind trees, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_excursion_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-edmond-cross_excursion_resize1024.jpg,"three figures on a hillside overlooking a coastal bay with sailboats and distant mountains, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_the-gardener-1884_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/georges-seurat_the-gardener-1884_resize1024.jpg,"a white horse grazing among trees in a sunlit green meadow, pointillism painting","{""category"":""animal""}",,Pointillism,WikiArt,animal,category_classify
richard-gerstl_portrait-of-a-gentleman-1907_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/richard-gerstl_portrait-of-a-gentleman-1907_resize1024.jpg,"a man in a light suit standing indoors beside a desk and lamp, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
yiannis-tsaroychis_montrouge-rose-in-an-english-cup-1968_resize1024,Dataset/Intermediate/Impressionism/Gen_pointillism/Gpt/yiannis-tsaroychis_montrouge-rose-in-an-english-cup-1968_resize1024.jpg,"a blue and white porcelain vase holding a large pink peony and small white flowers on a table, pointillism painting","{""category"":""still_life""}",,Pointillism,gpt-image-1,still_life,category_classify
henri-martin_garden-of-labastide-du-ver-in-marquayrol_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/henri-martin_garden-of-labastide-du-ver-in-marquayrol_resize1024.jpg,"a cottage garden with blooming flowers and a stone statue pedestal, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
marsden-hartley_the-ice-hole-1908_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/marsden-hartley_the-ice-hole-1908_resize1024.jpg,"a snowy mountain landscape with a frozen lake and a wooden dock under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
gerardo-dottori_gli-amanti-1907_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/gerardo-dottori_gli-amanti-1907_resize1024.jpg,"a tree-lined park avenue with sunlight filtering through autumn leaves, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
kees-van-dongen_le-moulin-de-la-galette-1906_resize1024,Dataset/_Style_Set/WikiArt-81K-BLIP_2-1024x1024/images/Pointillism/kees-van-dongen_le-moulin-de-la-galette-1906_resize1024.jpg,"a close-up portrait of a woman wearing a crown of red flowers, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
